oh,vfatId,vfatCh,iEta,strip,chamber
0,7,3,3,130,4
0,7,4,4,131,4
0,7,5,3,131,4
0,7,6,4,132,4
0,7,7,3,132,4
0,7,8,4,133,4
0,7,9,3,133,4
0,7,10,4,134,4
0,7,11,3,134,4
0,7,12,4,135,4
0,7,13,3,135,4
0,7,14,4,136,4
0,7,15,3,136,4
0,7,16,4,137,4
0,7,17,3,137,4
0,7,18,4,138,4
0,7,19,3,138,4
0,7,20,4,139,4
0,7,21,3,139,4
0,7,22,4,140,4
0,7,23,3,140,4
0,7,24,4,141,4
0,7,25,3,141,4
0,7,26,4,142,4
0,7,27,3,142,4
0,7,28,4,143,4
0,7,29,3,143,4
0,7,30,4,144,4
0,7,31,3,144,4
0,7,32,4,145,4
0,7,33,3,145,4
0,7,34,4,146,4
0,7,35,3,146,4
0,7,36,4,147,4
0,7,37,3,147,4
0,7,38,4,148,4
0,7,39,3,148,4
0,7,40,4,149,4
0,7,41,3,149,4
0,7,42,4,150,4
0,7,43,3,150,4
0,7,44,4,151,4
0,7,45,3,151,4
0,7,46,4,152,4
0,7,47,3,152,4
0,7,48,4,153,4
0,7,49,3,153,4
0,7,50,4,154,4
0,7,51,3,154,4
0,7,52,4,155,4
0,7,53,3,155,4
0,7,54,4,156,4
0,7,55,3,156,4
0,7,56,4,157,4
0,7,57,3,157,4
0,7,58,4,158,4
0,7,59,3,158,4
0,7,60,4,159,4
0,7,61,3,159,4
0,7,62,4,160,4
0,7,63,3,160,4
0,7,64,4,161,4
0,7,65,3,161,4
0,7,66,4,162,4
0,7,67,3,162,4
0,7,68,4,163,4
0,7,69,3,163,4
0,7,70,4,164,4
0,7,71,3,164,4
0,7,72,4,165,4
0,7,73,3,165,4
0,7,74,4,166,4
0,7,75,3,166,4
0,7,76,4,167,4
0,7,77,3,167,4
0,7,78,4,168,4
0,7,79,3,168,4
0,7,80,4,169,4
0,7,81,3,169,4
0,7,82,4,170,4
0,7,83,3,170,4
0,7,84,4,171,4
0,7,85,3,171,4
0,7,86,4,172,4
0,7,87,3,172,4
0,7,88,4,173,4
0,7,89,3,173,4
0,7,90,4,174,4
0,7,91,3,174,4
0,7,92,4,175,4
0,7,93,3,175,4
0,7,94,4,176,4
0,7,95,3,176,4
0,7,96,4,177,4
0,7,97,3,177,4
0,7,98,4,178,4
0,7,99,3,178,4
0,7,100,4,179,4
0,7,101,3,179,4
0,7,102,4,180,4
0,7,103,3,180,4
0,7,104,4,181,4
0,7,105,3,181,4
0,7,106,4,182,4
0,7,107,3,182,4
0,7,108,4,183,4
0,7,109,3,183,4
0,7,110,4,184,4
0,7,111,3,184,4
0,7,112,4,185,4
0,7,113,3,185,4
0,7,114,4,186,4
0,7,115,3,186,4
0,7,116,4,187,4
0,7,117,3,187,4
0,7,118,4,188,4
0,7,119,3,188,4
0,7,120,4,189,4
0,7,121,3,189,4
0,7,122,4,190,4
0,7,123,3,190,4
0,7,124,4,191,4
0,7,125,3,191,4
0,7,126,4,192,4
0,7,127,3,192,4
0,1,0,4,321,4
0,1,1,3,321,4
